Latitude (decimal degrees):	34.057
Longitude (decimal degrees):	-6.768
Elevation (m):	74
Radiation database:	PVGIS-SARAH3


Slope: 32 deg. (optimum)
Azimuth: 3 deg. (optimum)
Nominal power of the PV system (CIS) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200626:2209,0.0,0.0,0.0,18.96,1.72,0.0
20200626:2309,0.0,0.0,0.0,18.48,1.38,0.0
20200627:0009,0.0,0.0,0.0,17.89,1.17,0.0
20200627:0109,0.0,0.0,0.0,17.48,1.03,0.0
20200627:0209,0.0,0.0,0.0,17.68,0.69,0.0
20200627:0309,0.0,0.0,0.0,17.83,0.41,0.0
20200627:0409,0.0,0.0,0.0,17.33,0.69,0.0
20200627:0509,0.0,0.0,0.0,16.28,1.1,0.0
20200627:0609,30.28,49.23,8.91,16.05,1.1,0.0
20200627:0709,99.07,167.92,20.69,18.5,0.48,0.0
20200627:0809,284.51,387.34,32.87,20.06,0.28,0.0
20200627:0909,466.09,607.04,45.26,21.93,0.97,0.0
20200627:1009,609.42,800.09,57.63,23.73,1.66,0.0
20200627:1109,693.26,921.71,69.46,25.23,2.41,0.0
20200627:1209,735.04,984.08,78.4,26.33,3.03,0.0
20200627:1309,729.85,972.96,76.18,26.88,3.52,0.0
20200627:1409,686.17,904.43,65.71,26.94,3.72,0.0
20200627:1509,583.48,757.16,53.6,26.67,3.93,0.0
20200627:1609,433.05,562.49,41.19,26.03,3.86,0.0
20200627:1709,238.93,330.42,28.85,25.19,3.59,0.0
20200627:1809,70.29,133.19,16.78,23.96,3.31,0.0
20200627:1909,12.42,27.75,5.18,22.31,2.97,0.0
20200627:2009,0.0,0.0,0.0,20.93,2.14,0.0
20200627:2109,0.0,0.0,0.0,20.09,1.59,0.0
20200627:2209,0.0,0.0,0.0,19.4,1.38,0.0
20200627:2309,0.0,0.0,0.0,18.55,1.17,0.0
20200628:0009,0.0,0.0,0.0,18.32,0.9,0.0
20200628:0109,0.0,0.0,0.0,18.84,0.55,0.0
20200628:0209,0.0,0.0,0.0,18.73,0.28,0.0
20200628:0309,0.0,0.0,0.0,16.37,0.97,0.0
20200628:0409,0.0,0.0,0.0,16.2,1.17,0.0
20200628:0509,0.0,0.0,0.0,16.41,1.17,0.0
20200628:0609,28.52,47.44,8.85,16.91,1.17,0.0
20200628:0709,96.31,165.53,20.63,17.96,1.03,0.0
20200628:0809,283.59,384.46,32.81,19.88,0.76,0.0
20200628:0909,459.34,599.75,45.2,22.29,0.83,0.0
20200628:1009,599.44,789.31,57.57,24.55,1.59,0.0
20200628:1109,687.08,919.19,69.4,26.27,2.21,0.0
20200628:1209,730.85,986.99,78.34,27.61,2.76,0.0
20200628:1309,724.15,975.92,76.18,28.43,3.1,0.0
20200628:1409,658.77,875.3,65.73,28.68,3.38,0.0
20200628:1509,560.39,734.03,53.62,28.41,3.52,0.0
20200628:1609,405.19,531.0,41.22,27.66,3.66,0.0
20200628:1709,213.15,294.74,28.87,26.45,3.59,0.0
20200628:1809,77.96,123.22,16.79,25.05,3.17,0.0
20200628:1909,11.62,26.85,5.19,22.87,2.62,0.0
20200628:2009,0.0,0.0,0.0,21.55,1.93,0.0
20200628:2109,0.0,0.0,0.0,20.79,1.38,0.0
20200628:2209,0.0,0.0,0.0,20.16,1.03,0.0
20200628:2309,0.0,0.0,0.0,19.41,1.24,0.0
20200629:0009,0.0,0.0,0.0,19.07,1.38,0.0
20200629:0109,0.0,0.0,0.0,18.62,1.38,0.0
20200629:0209,0.0,0.0,0.0,18.25,1.38,0.0
20200629:0309,0.0,0.0,0.0,17.98,1.38,0.0
20200629:0409,0.0,0.0,0.0,17.65,1.31,0.0
20200629:0509,0.0,0.0,0.0,17.43,1.31,0.0
20200629:0609,30.88,51.02,8.78,17.47,1.1,0.0
20200629:0709,97.15,163.54,20.56,20.13,0.97,0.0
20200629:0809,270.25,370.26,32.75,22.22,0.69,0.0
20200629:0909,444.28,584.43,45.14,24.24,0.76,0.0
20200629:1009,580.32,769.91,57.5,26.29,1.31,0.0
20200629:1109,665.45,897.04,69.33,27.97,1.86,0.0
20200629:1209,711.18,969.01,78.28,29.31,2.34,0.0
20200629:1309,702.13,953.17,76.16,30.16,2.76,0.0
20200629:1409,657.5,881.51,65.74,30.53,3.1,0.0
20200629:1509,556.25,734.56,53.64,30.34,3.24,0.0
20200629:1609,407.06,537.79,41.24,29.62,3.38,0.0
20200629:1709,228.67,321.83,28.89,28.44,3.24,0.0
20200629:1809,77.78,132.97,16.81,26.87,2.76,0.0
20200629:1909,10.33,25.96,5.2,24.78,2.34,0.0
20200629:2009,0.0,0.0,0.0,23.1,2.14,0.0
20200629:2109,0.0,0.0,0.0,22.11,1.79,0.0
20200629:2209,0.0,0.0,0.0,21.51,1.66,0.0
20200629:2309,0.0,0.0,0.0,21.04,1.79,0.0
20200630:0009,0.0,0.0,0.0,20.68,1.93,0.0
20200630:0109,0.0,0.0,0.0,20.4,2.07,0.0
20200630:0209,0.0,0.0,0.0,20.16,2.21,0.0
20200630:0309,0.0,0.0,0.0,20.0,2.28,0.0
20200630:0409,0.0,0.0,0.0,19.81,2.34,0.0
20200630:0509,0.0,0.0,0.0,19.6,2.34,0.0
20200630:0609,29.15,50.12,8.71,19.73,2.28,0.0
20200630:0709,99.17,163.96,20.5,20.9,2.34,0.0
20200630:0809,268.91,365.11,32.68,22.41,2.07,0.0
20200630:0909,444.58,579.92,45.07,24.44,1.86,0.0
20200630:1009,581.38,764.72,57.44,26.17,2.07,0.0
20200630:1109,669.84,894.94,69.26,27.57,2.48,0.0
20200630:1209,705.31,951.41,78.21,28.53,2.76,0.0
20200630:1309,699.13,941.04,76.14,29.06,3.03,0.0
20200630:1409,650.22,866.05,65.75,29.11,3.1,0.0
20200630:1509,551.68,725.9,53.66,28.99,3.03,0.0
20200630:1609,413.7,545.19,41.25,28.39,2.9,0.0
20200630:1709,236.49,332.77,28.9,27.45,2.69,0.0
20200630:1809,73.44,133.79,16.82,26.15,2.48,0.0
20200630:1909,11.75,27.75,5.2,23.98,2.21,0.0
20200630:2009,0.0,0.0,0.0,22.42,1.66,0.0
20200630:2109,0.0,0.0,0.0,21.46,1.38,0.0
20200630:2209,0.0,0.0,0.0,20.73,1.38,0.0
20200630:2309,0.0,0.0,0.0,20.0,1.38,0.0
20200701:0009,0.0,0.0,0.0,19.31,1.31,0.0
20200701:0109,0.0,0.0,0.0,18.67,1.24,0.0
20200701:0209,0.0,0.0,0.0,18.28,1.03,0.0
20200701:0309,0.0,0.0,0.0,18.76,0.69,0.0
20200701:0409,0.0,0.0,0.0,18.97,0.55,0.0
20200701:0509,0.0,0.0,0.0,18.81,0.41,0.0
20200701:0609,27.58,47.44,8.64,18.58,0.14,0.0
20200701:0709,96.82,163.52,20.43,19.15,0.48,0.0
20200701:0809,277.71,379.2,32.61,20.84,0.41,0.0
20200701:0909,457.11,599.23,45.0,23.32,0.83,0.0
20200701:1009,591.22,783.36,57.37,25.71,1.38,0.0
20200701:1109,680.29,918.49,69.19,27.74,1.93,0.0
20200701:1209,723.06,986.41,78.13,29.28,2.48,0.0
20200701:1309,720.15,977.31,76.12,29.91,3.03,0.0
20200701:1409,671.84,899.01,65.75,29.76,3.24,0.0
20200701:1509,566.59,746.27,53.67,29.07,3.1,0.0
20200701:1609,415.42,547.15,41.26,28.27,2.97,0.0
20200701:1709,237.21,331.32,28.91,26.96,3.03,0.0
20200701:1809,78.12,135.72,16.83,25.35,2.55,0.0
20200701:1909,11.97,27.75,5.2,23.43,2.34,0.0
20200701:2009,0.0,0.0,0.0,22.0,1.45,0.0
20200701:2109,0.0,0.0,0.0,21.27,0.76,0.0
20200701:2209,0.0,0.0,0.0,20.43,1.1,0.0
20200701:2309,0.0,0.0,0.0,19.79,1.52,0.0
20200702:0009,0.0,0.0,0.0,19.51,1.66,0.0
20200702:0109,0.0,0.0,0.0,19.24,1.72,0.0
20200702:0209,0.0,0.0,0.0,19.28,1.66,0.0
20200702:0309,0.0,0.0,0.0,19.05,1.59,0.0
20200702:0409,0.0,0.0,0.0,19.01,1.45,0.0
20200702:0509,0.0,0.0,0.0,18.96,1.1,0.0
20200702:0609,29.3,50.12,8.57,19.21,0.97,0.0
20200702:0709,100.45,147.1,20.35,19.98,0.69,0.0
20200702:0809,189.3,256.97,32.54,21.39,0.69,0.0
20200702:0909,439.41,574.95,44.94,23.56,1.1,0.0
20200702:1009,578.13,761.03,57.3,25.63,1.79,0.0
20200702:1109,666.09,887.66,69.11,27.15,2.55,0.0
20200702:1209,717.15,963.67,78.05,27.95,3.03,0.0
20200702:1309,565.38,746.9,76.09,28.28,3.31,0.0
20200702:1409,112.53,165.41,65.75,28.4,3.31,0.0
20200702:1509,561.17,736.09,53.68,28.31,3.17,0.0
20200702:1609,414.47,544.69,41.27,27.87,3.03,0.0
20200702:1709,236.15,329.98,28.92,27.01,3.03,0.0
20200702:1809,77.65,135.5,16.83,25.66,2.83,0.0
20200702:1909,11.92,27.75,5.2,23.58,2.55,0.0
20200702:2009,0.0,0.0,0.0,22.14,2.07,0.0
20200702:2109,0.0,0.0,0.0,21.22,1.59,0.0
20200702:2209,0.0,0.0,0.0,20.59,1.24,0.0
20200702:2309,0.0,0.0,0.0,19.78,1.03,0.0
20200703:0009,0.0,0.0,0.0,19.66,0.69,0.0
20200703:0109,0.0,0.0,0.0,19.49,0.62,0.0
20200703:0209,0.0,0.0,0.0,19.19,0.62,0.0
20200703:0309,0.0,0.0,0.0,19.07,0.62,0.0
20200703:0409,0.0,0.0,0.0,19.04,0.62,0.0
20200703:0509,0.0,0.0,0.0,18.83,0.69,0.0
20200703:0609,28.19,48.33,8.49,18.77,0.69,0.0
20200703:0709,96.33,162.4,20.28,19.28,0.07,0.0
20200703:0809,272.21,371.97,32.47,21.36,0.62,0.0
20200703:0909,452.51,590.82,44.86,23.45,1.31,0.0
20200703:1009,596.54,784.04,57.23,25.35,2.0,0.0
20200703:1109,689.79,919.33,69.03,26.93,2.76,0.0
20200703:1209,735.02,988.39,77.97,28.09,3.31,0.0
20200703:1309,730.66,979.39,76.05,28.64,3.72,0.0
20200703:1409,677.72,897.54,65.75,28.78,3.93,0.0
20200703:1509,578.8,755.96,53.68,28.56,4.0,0.0
20200703:1609,429.95,561.39,41.28,27.82,4.07,0.0
20200703:1709,246.39,343.29,28.92,26.53,3.93,0.0
20200703:1809,75.17,135.96,16.83,24.83,3.59,0.0
20200703:1909,12.29,27.75,5.19,22.66,3.03,0.0
20200703:2009,0.0,0.0,0.0,21.26,2.21,0.0
20200703:2109,0.0,0.0,0.0,20.42,1.59,0.0
20200703:2209,0.0,0.0,0.0,19.79,1.03,0.0
20200703:2309,0.0,0.0,0.0,19.19,0.69,0.0
20200704:0009,0.0,0.0,0.0,18.98,0.76,0.0
20200704:0109,0.0,0.0,0.0,18.67,0.76,0.0
20200704:0209,0.0,0.0,0.0,18.23,0.9,0.0
20200704:0309,0.0,0.0,0.0,17.66,1.03,0.0
20200704:0409,0.0,0.0,0.0,17.58,0.97,0.0
20200704:0509,0.0,0.0,0.0,17.48,0.97,0.0
20200704:0609,27.04,45.65,8.41,17.19,0.97,0.0
20200704:0709,95.09,161.39,20.2,18.78,0.28,0.0
20200704:0809,272.04,372.83,32.4,21.54,0.34,0.0
20200704:0909,446.07,586.17,44.79,24.0,0.83,0.0
20200704:1009,587.56,778.87,57.15,26.12,1.45,0.0
20200704:1109,674.3,908.47,68.95,27.95,2.07,0.0
20200704:1209,718.77,977.26,77.87,29.17,2.62,0.0
20200704:1309,714.62,968.19,76.01,29.77,3.03,0.0
20200704:1409,669.32,896.59,65.74,29.9,3.17,0.0
20200704:1509,572.16,755.07,53.68,29.8,3.24,0.0
20200704:1609,422.81,558.53,41.28,29.22,2.97,0.0
20200704:1709,242.72,342.77,28.92,28.48,2.55,0.0
20200704:1809,74.38,136.42,16.82,27.26,2.14,0.0
20200704:1909,11.3,27.75,5.18,25.13,2.0,0.0
20200704:2009,0.0,0.0,0.0,23.41,1.59,0.0
20200704:2109,0.0,0.0,0.0,22.44,1.24,0.0
20200704:2209,0.0,0.0,0.0,21.75,1.52,0.0
20200704:2309,0.0,0.0,0.0,21.16,1.72,0.0
20200705:0009,0.0,0.0,0.0,20.69,1.79,0.0
20200705:0109,0.0,0.0,0.0,20.31,1.79,0.0
20200705:0209,0.0,0.0,0.0,19.96,1.79,0.0
20200705:0309,0.0,0.0,0.0,19.67,1.72,0.0
20200705:0409,0.0,0.0,0.0,19.41,1.72,0.0
20200705:0509,0.0,0.0,0.0,19.29,1.66,0.0
20200705:0609,26.74,46.54,8.32,19.2,1.45,0.0
20200705:0709,93.9,160.27,20.12,21.65,0.69,0.0
20200705:0809,262.75,366.14,32.32,24.92,0.21,0.0
20200705:0909,431.08,576.46,44.71,27.5,0.41,0.0
20200705:1009,567.67,766.29,57.07,29.86,1.03,0.0
20200705:1109,652.66,898.8,68.87,31.75,1.45,0.0
20200705:1209,694.46,967.42,77.78,33.26,1.93,0.0
20200705:1309,697.11,967.57,75.96,34.14,2.48,0.0
20200705:1409,648.89,886.81,65.72,34.34,2.83,0.0
20200705:1509,557.2,747.53,53.68,34.05,3.17,0.0
20200705:1609,410.98,550.19,41.28,32.99,3.24,0.0
20200705:1709,232.67,332.69,28.92,31.72,2.97,0.0
20200705:1809,74.05,135.78,16.81,29.99,2.34,0.0
20200705:1909,10.05,27.75,5.16,28.39,1.93,0.0
20200705:2009,0.0,0.0,0.0,26.13,1.45,0.0
20200705:2109,0.0,0.0,0.0,24.95,0.76,0.0
20200705:2209,0.0,0.0,0.0,23.85,0.9,0.0
20200705:2309,0.0,0.0,0.0,23.15,1.45,0.0
20200706:0009,0.0,0.0,0.0,22.62,1.59,0.0
20200706:0109,0.0,0.0,0.0,22.13,1.31,0.0
20200706:0209,0.0,0.0,0.0,22.83,0.9,0.0
20200706:0309,0.0,0.0,0.0,23.16,0.69,0.0
20200706:0409,0.0,0.0,0.0,23.0,0.62,0.0
20200706:0509,0.0,0.0,0.0,22.38,0.9,0.0
20200706:0609,25.64,46.54,8.24,21.37,1.17,0.0
20200706:0709,94.51,161.25,20.04,22.83,0.14,0.0
20200706:0809,261.84,367.12,32.24,26.54,0.28,0.0
20200706:0909,410.19,551.68,44.64,29.73,0.83,0.0
20200706:1009,560.25,761.89,56.99,32.49,1.31,0.0
20200706:1109,639.84,889.67,68.78,35.06,1.72,0.0
20200706:1209,682.01,961.4,77.67,36.99,2.21,0.0
20200706:1309,687.94,967.93,75.9,38.02,2.76,0.0
20200706:1409,628.26,868.06,65.7,38.09,3.17,0.0
20200706:1509,548.52,743.71,53.67,37.3,3.52,0.0
20200706:1609,411.94,557.07,41.27,35.84,3.45,0.0
20200706:1709,234.08,338.08,28.91,34.06,3.1,0.0
20200706:1809,72.69,137.02,16.79,32.11,2.34,0.0
20200706:1909,8.69,26.85,5.14,30.56,2.0,0.0
20200706:2009,0.0,0.0,0.0,28.0,1.72,0.0
20200706:2109,0.0,0.0,0.0,26.59,0.97,0.0
20200706:2209,0.0,0.0,0.0,25.32,0.97,0.0
20200706:2309,0.0,0.0,0.0,24.16,1.45,0.0
20200707:0009,0.0,0.0,0.0,23.06,1.52,0.0
20200707:0109,0.0,0.0,0.0,22.28,1.38,0.0
20200707:0209,0.0,0.0,0.0,21.89,1.24,0.0
20200707:0309,0.0,0.0,0.0,21.32,1.31,0.0
20200707:0409,0.0,0.0,0.0,20.53,1.45,0.0
20200707:0509,0.0,0.0,0.0,19.77,1.66,0.0
20200707:0609,25.82,45.65,8.15,19.79,1.66,0.0
20200707:0709,93.63,160.19,19.96,23.11,1.24,0.0
20200707:0809,258.67,365.28,32.16,28.64,0.62,0.0
20200707:0909,424.63,579.77,44.56,32.98,0.55,0.0
20200707:1009,555.96,772.96,56.91,36.35,0.83,0.0
20200707:1109,636.74,907.9,68.68,38.96,1.24,0.0
20200707:1209,680.73,982.46,77.56,40.61,1.86,0.0
20200707:1309,675.6,963.27,75.83,41.25,2.76,0.0
20200707:1409,635.78,888.21,65.68,40.98,3.45,0.0
20200707:1509,538.64,737.77,53.65,40.22,3.72,0.0
20200707:1609,392.99,539.51,41.26,39.38,3.52,0.0
20200707:1709,218.45,322.13,28.89,38.71,3.03,0.0
20200707:1809,71.61,135.45,16.77,37.68,2.69,0.0
20200707:1909,7.27,27.75,5.11,35.67,2.76,0.0
20200707:2009,0.0,0.0,0.0,33.36,2.83,0.0
20200707:2109,0.0,0.0,0.0,31.65,2.55,0.0
20200707:2209,0.0,0.0,0.0,30.61,2.55,0.0
20200707:2309,0.0,0.0,0.0,29.79,2.34,0.0
20200708:0009,0.0,0.0,0.0,29.04,2.28,0.0
20200708:0109,0.0,0.0,0.0,27.56,1.45,0.0
20200708:0209,0.0,0.0,0.0,26.3,0.62,0.0
20200708:0309,0.0,0.0,0.0,24.94,2.0,0.0
20200708:0409,0.0,0.0,0.0,23.56,2.28,0.0
20200708:0509,0.0,0.0,0.0,22.59,2.07,0.0
20200708:0609,24.05,44.75,8.06,22.1,1.79,0.0
20200708:0709,97.35,160.63,19.87,23.36,1.31,0.0
20200708:0809,259.44,358.63,32.08,25.43,1.38,0.0
20200708:0909,428.19,565.46,44.48,27.39,1.86,0.0
20200708:1009,574.92,760.51,56.83,28.69,2.55,0.0
20200708:1109,671.85,898.12,68.59,29.38,3.24,0.0
20200708:1209,728.32,981.44,77.45,29.65,3.66,0.0
20200708:1309,707.41,947.38,75.76,29.62,3.93,0.0
20200708:1409,646.38,854.84,65.65,29.2,4.0,0.0
20200708:1509,515.74,674.36,53.64,28.47,3.72,0.0
20200708:1609,413.13,541.64,41.24,27.68,3.31,0.0
20200708:1709,232.05,321.92,28.87,26.63,3.03,0.0
20200708:1809,80.16,135.91,16.75,25.29,2.76,0.0
20200708:1909,10.97,25.96,5.08,23.13,3.03,0.0
20200708:2009,0.0,0.0,0.0,21.38,2.62,0.0
20200708:2109,0.0,0.0,0.0,20.38,2.07,0.0
20200708:2209,0.0,0.0,0.0,19.83,1.59,0.0
20200708:2309,0.0,0.0,0.0,19.6,1.24,0.0
20200709:0009,0.0,0.0,0.0,19.23,0.62,0.0
20200709:0109,0.0,0.0,0.0,19.28,0.41,0.0
20200709:0209,0.0,0.0,0.0,18.87,0.83,0.0
20200709:0309,0.0,0.0,0.0,18.63,1.17,0.0
20200709:0409,0.0,0.0,0.0,18.44,1.38,0.0
20200709:0509,0.0,0.0,0.0,18.5,1.24,0.0
20200709:0609,26.35,45.65,7.97,18.6,0.97,0.0
20200709:0709,103.18,151.61,19.78,19.04,0.69,0.0
20200709:0809,228.53,306.76,31.99,20.15,0.83,0.0
20200709:0909,457.14,595.49,44.39,21.98,0.97,0.0
20200709:1009,595.94,785.14,56.74,23.95,1.31,0.0
20200709:1109,687.75,921.79,68.49,25.56,1.86,0.0
20200709:1209,732.63,993.09,77.33,27.01,2.34,0.0
20200709:1309,732.62,989.88,75.69,27.79,2.83,0.0
20200709:1409,686.31,912.64,65.61,27.91,3.31,0.0
20200709:1509,592.11,773.2,53.61,27.45,3.59,0.0
20200709:1609,448.73,583.58,41.22,26.52,3.72,0.0
20200709:1709,258.67,358.23,28.85,25.35,3.45,0.0
20200709:1809,73.56,138.55,16.72,24.07,3.03,0.0
20200709:1909,11.9,26.85,5.04,22.11,2.21,0.0
20200709:2009,0.0,0.0,0.0,20.93,1.72,0.0
20200709:2109,0.0,0.0,0.0,20.24,1.52,0.0
20200709:2209,0.0,0.0,0.0,19.61,1.52,0.0
20200709:2309,0.0,0.0,0.0,19.17,1.38,0.0
20200710:0009,0.0,0.0,0.0,18.58,1.03,0.0
20200710:0109,0.0,0.0,0.0,18.55,0.62,0.0
20200710:0209,0.0,0.0,0.0,18.59,0.62,0.0
20200710:0309,0.0,0.0,0.0,17.43,0.97,0.0
20200710:0409,0.0,0.0,0.0,17.29,0.9,0.0
20200710:0509,0.0,0.0,0.0,17.45,0.76,0.0
20200710:0609,22.86,40.28,7.87,17.73,0.55,0.0
20200710:0709,88.85,157.59,19.69,18.35,0.62,0.0
20200710:0809,279.41,380.51,31.91,20.14,0.76,0.0
20200710:0909,460.37,600.41,44.31,22.43,1.03,0.0
20200710:1009,601.26,796.91,56.65,25.02,1.24,0.0
20200710:1109,688.4,932.76,68.39,27.43,1.72,0.0
20200710:1209,731.43,999.79,77.2,29.19,2.48,0.0
20200710:1309,733.02,996.66,75.6,30.02,3.17,0.0
20200710:1409,693.32,928.59,65.57,30.08,3.66,0.0
20200710:1509,589.71,775.23,53.59,29.66,3.86,0.0
20200710:1609,442.15,579.9,41.2,28.89,3.86,0.0
20200710:1709,255.8,357.91,28.82,27.83,3.59,0.0
20200710:1809,71.87,138.3,16.69,26.47,3.1,0.0
20200710:1909,10.4,25.96,5.0,24.6,2.28,0.0
20200710:2009,0.0,0.0,0.0,23.05,1.66,0.0
20200710:2109,0.0,0.0,0.0,22.11,1.24,0.0
20200710:2209,0.0,0.0,0.0,21.27,0.9,0.0
20200710:2309,0.0,0.0,0.0,21.12,0.62,0.0
20200711:0009,0.0,0.0,0.0,20.38,0.9,0.0
20200711:0109,0.0,0.0,0.0,19.39,1.17,0.0
20200711:0209,0.0,0.0,0.0,18.99,1.31,0.0
20200711:0309,0.0,0.0,0.0,18.58,1.38,0.0
20200711:0409,0.0,0.0,0.0,18.13,1.45,0.0
20200711:0509,0.0,0.0,0.0,17.61,1.52,0.0
20200711:0609,23.57,41.17,7.77,17.72,1.38,0.0
20200711:0709,90.05,155.39,19.6,20.82,0.62,0.0
20200711:0809,259.43,361.17,31.82,24.53,0.14,0.0
20200711:0909,431.92,575.8,44.22,27.24,0.62,0.0
20200711:1009,574.49,770.64,56.56,29.41,1.45,0.0
20200711:1109,662.6,902.25,68.29,31.01,2.14,0.0
20200711:1209,708.13,972.18,77.07,32.11,2.76,0.0
20200711:1309,709.14,968.88,75.51,32.56,3.31,0.0
20200711:1409,660.02,889.16,65.53,32.48,3.59,0.0
20200711:1509,426.29,567.63,53.56,32.2,3.45,0.0
20200711:1609,309.88,418.31,41.17,31.69,2.97,0.0
20200711:1709,213.58,302.73,28.79,30.77,2.55,0.0
20200711:1809,37.09,68.61,16.65,29.63,2.21,0.0
20200711:1909,9.89,26.85,4.95,27.4,2.28,0.0
20200711:2009,0.0,0.0,0.0,25.83,2.07,0.0
20200711:2109,0.0,0.0,0.0,24.95,2.21,0.0
20200711:2209,0.0,0.0,0.0,24.25,2.14,0.0
20200711:2309,0.0,0.0,0.0,23.64,2.07,0.0
20200712:0009,0.0,0.0,0.0,23.14,2.34,0.0
20200712:0109,0.0,0.0,0.0,22.7,2.21,0.0
20200712:0209,0.0,0.0,0.0,22.29,1.86,0.0
20200712:0309,0.0,0.0,0.0,21.92,1.72,0.0
20200712:0409,0.0,0.0,0.0,21.8,1.72,0.0
20200712:0509,0.0,0.0,0.0,21.66,1.93,0.0
20200712:0609,21.78,41.17,7.67,21.62,2.0,0.0
20200712:0709,98.39,156.0,19.51,22.65,1.79,0.0
20200712:0809,252.38,347.01,31.73,24.51,1.45,0.0
20200712:0909,405.77,534.86,44.13,26.71,1.86,0.0
20200712:1009,561.54,741.39,56.47,28.32,2.48,0.0
20200712:1109,634.55,853.44,68.18,29.97,2.48,0.0
20200712:1209,696.4,949.01,76.93,31.16,2.83,0.0
20200712:1309,699.2,951.17,75.42,31.63,3.17,0.0
20200712:1409,583.45,781.21,65.48,31.59,3.1,0.0
20200712:1509,499.87,665.93,53.52,31.56,2.69,0.0
20200712:1609,291.37,395.95,41.14,31.53,2.21,0.0
20200712:1709,157.98,228.22,28.76,31.05,2.21,0.0
20200712:1809,62.99,105.3,16.61,29.71,2.55,0.0
20200712:1909,7.94,23.27,4.9,26.94,2.69,0.0
20200712:2009,0.0,0.0,0.0,24.74,2.62,0.0
20200712:2109,0.0,0.0,0.0,23.39,2.14,0.0
20200712:2209,0.0,0.0,0.0,22.7,1.66,0.0
20200712:2309,0.0,0.0,0.0,22.31,1.52,0.0
20200713:0009,0.0,0.0,0.0,21.85,1.66,0.0
20200713:0109,0.0,0.0,0.0,21.62,1.86,0.0
20200713:0209,0.0,0.0,0.0,21.64,2.0,0.0
20200713:0309,0.0,0.0,0.0,21.39,1.86,0.0
20200713:0409,0.0,0.0,0.0,21.24,1.66,0.0
20200713:0509,0.0,0.0,0.0,21.14,1.45,0.0
20200713:0609,23.86,43.86,7.57,21.1,1.24,0.0
20200713:0709,86.71,155.87,19.41,21.2,1.17,0.0
20200713:0809,273.1,376.34,31.64,22.85,0.76,0.0
20200713:0909,450.01,594.69,44.04,25.19,0.76,0.0
20200713:1009,584.85,781.46,56.38,27.38,1.24,0.0
20200713:1109,678.45,923.5,68.07,29.26,1.86,0.0
20200713:1209,720.67,990.44,76.79,30.53,2.41,0.0
20200713:1309,720.14,987.22,75.31,31.29,2.83,0.0
20200713:1409,674.53,912.01,65.42,31.45,3.1,0.0
20200713:1509,579.14,770.06,53.48,31.24,3.17,0.0
20200713:1609,438.75,581.55,41.1,30.55,3.1,0.0
20200713:1709,251.78,354.94,28.72,29.35,3.03,0.0
20200713:1809,77.36,139.08,16.56,27.66,2.83,0.0
20200713:1909,9.06,24.17,4.84,25.27,2.41,0.0
20200713:2009,0.0,0.0,0.0,23.7,1.86,0.0
20200713:2109,0.0,0.0,0.0,22.84,1.38,0.0
20200713:2209,0.0,0.0,0.0,22.22,1.03,0.0
20200713:2309,0.0,0.0,0.0,21.41,1.24,0.0
20200714:0009,0.0,0.0,0.0,20.75,1.31,0.0
20200714:0109,0.0,0.0,0.0,20.16,1.38,0.0
20200714:0209,0.0,0.0,0.0,19.84,1.52,0.0
20200714:0309,0.0,0.0,0.0,19.72,1.72,0.0
20200714:0409,0.0,0.0,0.0,19.7,1.79,0.0
20200714:0509,0.0,0.0,0.0,19.68,1.79,0.0
20200714:0609,22.64,41.17,7.46,19.76,1.79,0.0
20200714:0709,98.81,155.41,19.32,21.54,1.38,0.0
20200714:0809,268.19,371.08,31.55,24.31,1.17,0.0
20200714:0909,445.03,590.81,43.95,26.63,0.83,0.0
20200714:1009,579.4,781.66,56.28,28.88,0.9,0.0
20200714:1109,667.13,916.0,67.95,30.82,1.59,0.0
20200714:1209,714.35,987.4,76.64,32.12,2.41,0.0
20200714:1309,716.12,985.26,75.2,32.7,2.97,0.0
20200714:1409,669.98,909.03,65.36,32.86,3.24,0.0
20200714:1509,577.62,770.69,53.44,32.67,3.38,0.0
20200714:1609,436.56,579.76,41.06,31.82,3.59,0.0
20200714:1709,251.83,356.74,28.67,30.45,3.31,0.0
20200714:1809,70.2,138.35,16.51,28.95,2.62,0.0
20200714:1909,8.87,25.06,4.78,27.25,2.07,0.0
20200714:2009,0.0,0.0,0.0,25.49,1.66,0.0
20200714:2109,0.0,0.0,0.0,24.42,1.38,0.0
20200714:2209,0.0,0.0,0.0,23.62,1.52,0.0
20200714:2309,0.0,0.0,0.0,22.91,1.59,0.0
20200715:0009,0.0,0.0,0.0,22.35,1.72,0.0
20200715:0109,0.0,0.0,0.0,21.93,1.79,0.0
20200715:0209,0.0,0.0,0.0,21.64,1.86,0.0
20200715:0309,0.0,0.0,0.0,21.29,1.79,0.0
20200715:0409,0.0,0.0,0.0,20.9,1.66,0.0
20200715:0509,0.0,0.0,0.0,20.4,1.52,0.0
20200715:0609,21.86,40.28,7.36,20.01,1.45,0.0
20200715:0709,97.41,151.08,19.22,22.24,0.9,0.0
20200715:0809,263.66,367.87,31.45,25.42,0.76,0.0
20200715:0909,434.95,582.05,43.86,28.23,0.62,0.0
20200715:1009,567.19,770.33,56.18,30.68,0.83,0.0
20200715:1109,656.81,907.74,67.84,32.74,1.59,0.0
